name,category,title,description,date,keyword
유승민,복지,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안	,,2013-07-02,고용보험
유승민,복지,국민건강보험법 일부개정법률안	,,2013-07-02,건강보험
유승민,복지,국민연금법 일부개정법률안	,,2013-07-02,국민연금
유승민,민생,민원사무 처리에 관한 법률 전부개정법률안	,,2013-07-04,민우너사무
유승민,안보,남북 이산가족 생사확인 및 교류 촉진에 관한 법률 일부개정법률안	,,2013-07-08,이산가족
유승민,경제,탄소세법안	,,2013-07-10,탄소세
유승민,복지,발달장애인 지원 및 권리보호에 관한 법률안	,,2013-07-30,발달장애인
유승민,경제,국가재정법 일부개정법률안	,,2013-07-30,국가재정법
유승민,민생,근로기준법 일부개정법률안	,,2013-08-22,근로기준법
유승민,기타,2014 서울세계수학자대회 지원에 관한 결의안	,,2013-09-03,서울세계수학자대회
유승민,정치,국회의원(이석기) 징계안	,,2013-09-06,이석기
유승민,안보,군인사법 일부개정법률안	,,2013-09-25,군인사법
유승민,안보,군 사망사고 진상규명에 관한 특별법안	,,2013-09-25,"군, 사망사고"
유승민,정치,국무총리 및 국무위원 출석요구의 건(교섭단체 대표연설)	,,2013-09-27,국무총리
유승민,기타,도청이전을 위한 도시건설 및 지원에 관한 특별법 일부개정법률안	,,2013-10-07,도청이전
유승민,기타,의료기기법 일부개정법률안	,,2013-10-10,의료기기법
유승민,안보,군인사법 일부개정법률안	,,2013-10-30,군인사법
유승민,안보,병역법 일부개정법률안,,2013-10-30,병역법
유승민,경제,조세특례제한법 일부개정법률안	,,2013-11-13,조세특례제한법
유승민,복지,장애인 등에 대한 특수교육법 일부개정법률안	,,2013-11-14,장애인
유승민,외교,필리핀 공화국 태풍 피해 희생자 추모 및 복구 지원 촉구 결의안	,,2013-11-14,필리킨
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2013-11-15,국무총리
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(교육·사회·문화에 관한 질문)	,,2013-11-15,국무총리
유승민,외교,필리핀 공화국 태풍 피해 희생자 추모 및 복구 지원 촉구결의안 채택의 건	,,2013-11-15,필리핀
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2013-11-15,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(외교·통일·안보에 관한 질문)	,,2013-11-15,국무총리
유승민,정치,정치자금법 일부개정법률안	,,2013-11-18,정치자금
유승민,민생,아동·청소년의 성보호에 관한 법률 일부개정법률안	,,2013-11-20,성보호
유승민,기타,유아교육법 일부개정법률안	,,2013-11-22,유아교육법
유승민,기타,학교전담경찰관의 운영 및 지원에 관한 법률안	,,2013-11-22,학교전담경찰관
유승민,기타,소년법 일부개정법률안,,2013-11-22,소년법
유승민,기타,해적행위의 처벌 등에 관한 특례법안,,2013-11-22,해적행위
유승민,기타,초·중등교육법 일부개정법률안,,2013-11-22,초중등교육법
유승민,안보,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,,2013-11-22,사법경찰
유승민,민생,학교폭력예방 및 대책에 관한 법률 일부개정법률안,,2013-11-22,학교폭력
유승민,민생,소년법 일부개정법률안,,2013-11-25,소년법
유승민,기타,초·중등교육법 일부개정법률안,,2013-11-25,중등교육법
유승민,기타,클라우드 컴퓨팅 산업 진흥법안	,,2013-11-27,"클라우드, 컴퓨팅"
유승민,복지,장애인복지법 일부개정법률안	,,2013-11-27,장애인
유승민,정치,국회법 일부개정법률안	,,2013-11-29,국회법
유승민,정치,국회의원수당 등에 관한 법률 일부개정법률안	,,2013-11-29,"국회의원, 수당"
유승민,기타,한국사학진흥재단법 일부개정법률안	,,2013-12-04,한국사학
유승민,기타,각급 법원의 설치와 관할구역에 관한 법률 일부개정법률안,,2013-12-05,"법원, 관할구역"
유승민,경제,교통·에너지·환경세법 일부개정법률안,,2013-12-05,환경세
유승민,경제,개별소비세법 일부개정법률안,,2013-12-05,개별소비세
유승민,정치,국회의원(양승조) 징계안	,,2013-12-10,양승조
유승민,정치,국회의원(장하나) 징계안,,2013-12-10,장하나
유승민,정치,국회의원(장하나) 징계안        ,,2013-12-12,장하나
유승민,민생,식품위생법 일부개정법률안	,,2013-12-18,식품위생
유승민,안보,군인사법 일부개정법률안	,,2013-12-20,군인사
유승민,복지,국민연금법 일부개정법률안,,2013-12-31,국민연금
유승민,복지,군인사법 일부개정법률안,,2014-01-03,군인사
유승민,경제,대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,,2014-01-06,대부업
유승민,경제,채권의 공정한 추심에 관한 법률 일부개정법률안,,2014-01-06,추심
유승민,민생,민사소송 등에서의 전자문서 이용 등에 관한 법률 일부개정법률안,,2014-01-06,민사소송
유승민,경제,신용정보의 이용 및 보호에 관한 법률 일부개정법률안,,2014-01-06,신용정보
유승민,기타,방문판매 등에 관한 법률 일부개정법률안,,2014-01-06,방문판매
유승민,기타,전기통신사업법 일부개정법률안	,,2014-01-06,전기통신
유승민,경제,전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,,2014-01-06,전자상거래
유승민,경제,할부거래에 관한 법률 일부개정법률안,,2014-01-06,할부거래
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2014-01-28,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문),,2014-01-28,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설),,2014-01-28,국무총리
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(경제에 관한 질문),,2014-01-28,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문),,2014-01-28,국무총리
유승민,안보,개인정보 대량유출 관련 실태조사 및 재발방지를 위한 국정조사 요구서,,2014-02-03,개인정보
유승민,경제,한국조폐공사법 일부개정법률안	,,2014-02-05,한국조폐공사
유승민,기타,정부조직법 일부개정법률안	,,2014-02-05,정부조직법
유승민,기타,과학기술분야 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안	,,2014-02-05,과학기술
유승민,경제,소비자기본법 일부개정법률안,,2014-02-05,소비자기본법
유승민,기타,공공기관의 운영에 관한 법률 일부개정법률안,,2014-02-05,"공공기관, 운영"
유승민,복지,지방의료원의 설립 및 운영에 관한 법률 일부개정법률안	,,2014-02-05,지방의료원
유승민,경제,한국주택금융공사법 일부개정법률안	,,2014-02-05,한국주택금융공사
